Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
1,1,1.430703114,Zhou Qi,,FA,F,1,0.95,2,0,0,0,0,0,1,1,0,0,0,8.262950573,-1.218330086,-2.052171584,-1.598053999,-1.842080221,-1.122370345,10.27788714,0.072679949,2.095816605
1,2,1.41869792,Gary Payton II,,FA,G,3,5.305555556,3.666666667,0.333333333,0.666666667,1.333333333,1,0.333333333,0.625,2.666666667,0,0,0.333333333,0.765594436,0.359343862,-0.941989949,2.065382401,8.27316029,1.151026615,1.253956874,0.072679949,-0.2308732
1,3,1.029109795,Trevon Duval,,HOU,G,3,1.861111111,1.666666667,0.333333333,0.333333333,0.666666667,0,0,0.666666667,1,0,0,0,1.849366697,3.279218034,-0.469748508,3.623709825,-1.842080221,-1.122370345,1.77539612,0.072679949,2.095816605
1,4,0.773449557,Troy Caupain,,ORL,G,4,3.908333333,2.5,0.5,0.75,1,0.25,0,0.5,2,0,0,0,0.492875859,1.994204286,-0.356718288,2.131777304,1.590775034,-1.122370345,0.06200561,0.072679949,2.095816605
1,5,0.592605754,Chris Boucher,,TOR,F,28,5.826190476,3.321428571,0.428571429,2,0.071428571,0.214285714,0.857142857,0.447368421,2.714285714,0.866666667,0.535714286,0.25,0.12402621,0.628844356,0.980752089,-1.419336091,0.131776478,4.201113342,-0.421646433,0.601185874,0.50673596
1,6,0.513156197,James Harden,,HOU,G,78,36.75299145,36.12820513,4.846153846,6.615384615,7.512820513,2.051282051,0.730769231,0.441592457,24.47435897,0.878787879,11,4.961538462,2.313141706,2.092781972,-0.461873376,1.381773378,1.153215915,-0.402896591,-0.620377566,2.066182182,-2.903541849
1,7,0.509342226,Kalin Lucas,,DET,G,1,5.583333333,2,0,3,1,0,0,0,1,1,2,0,-0.999264063,-1.218330086,2.695097645,1.012827913,-1.842080221,-1.122370345,-1.766135607,5.728518197,2.095816605
1,8,0.493708234,Anthony Davis,,NOR,F,56,33.03482143,25.92857143,0.857142857,12.03571429,3.892857143,1.571428571,2.410714286,0.516569201,18.32142857,0.794457275,7.732142857,2.017857143,1.262815204,-0.566775776,1.16679205,0.119764555,0.71079602,1.51822087,0.252871337,0.14515898,-0.16626913
1,9,0.398144951,Stephen Curry,,GSW,G,69,33.78719807,27.26086957,5.130434783,5.347826087,5.231884058,1.333333333,0.362318841,0.471641791,19.42028986,0.916376307,4.15942029,2.782608696,1.379207568,2.594709981,-0.653739878,0.659232685,0.275762179,-0.734339601,-0.224549587,1.241139495,-0.954118286
1,10,0.3702456,Jordan Sibert,,FA,G,1,4.233333333,3,1,0,0,0,0,1,1,0,0,0,0.858701144,4.713475506,-2.052171584,-1.598053999,-1.842080221,-1.122370345,2.206213346,0.072679949,2.095816605
1,11,0.305235702,Paul George,Injured - shoulder (0g),OKC,F,77,36.9017316,28.03896104,3.792207792,8.142857143,4.12987013,2.220779221,0.441558442,0.438042131,20.96103896,0.840445269,7,2.662337662,1.129965706,1.362234636,-0.102568361,0.03338348,1.387646074,-0.689389342,-0.586548883,0.788400181,-0.576002175
1,12,0.273959855,Kyrie Irving,,BOS,G,67,33.04502488,23.82089552,2.597014925,5.014925373,6.940298507,1.552238806,0.507462687,0.486704271,18.52238806,0.873469388,3.656716418,2.567164179,0.923382822,0.755172672,-0.711338999,1.463577047,0.678842505,-0.566689498,-0.061550994,0.765415318,-0.781172181
2,13,0.266584016,Scott Machado,,FA,G,4,4.791666667,2.5,0.25,0,0.75,0.25,0,0.666666667,1.5,1,0.25,0,-0.132289484,0.091825236,-2.052171584,0.683629759,0.95793563,-1.122370345,0.980415241,0.896465085,2.095816605
2,14,0.260325418,Kawhi Leonard,,TOR,F,60,34.0025,26.6,1.866666667,7.3,3.316666667,1.766666667,0.416666667,0.496014172,18.81666667,0.854460094,7.1,2.033333333,1.249080521,0.160228725,-0.155342609,-0.176145131,0.94629263,-0.678960527,0.035610621,1.080912451,-0.118747922
2,15,0.233015398,Karl-Anthony Towns,,MIN,C,77,33.04805195,24.41558442,1.844155844,12.38961039,3.363636364,0.883116883,1.623376623,0.517870722,17.07792208,0.835555556,5.844155844,3.12987013,1.018433656,0.182937673,1.260115333,-0.114361297,-0.40798033,0.655093679,0.239590279,0.674778012,-1.411468419
2,16,0.22408363,Nikola Jokic,,DEN,C,80,31.29895833,20.05,1.0375,10.8125,7.2625,1.35,0.675,0.510779436,15.075,0.821022727,4.4,3.0875,0.497846393,-0.385938663,1.000024289,1.7844401,0.472706405,-0.341999051,0.149543844,0.39746431,-1.557334955
2,17,0.210950964,Nikola Vucevic,,ORL,C,80,31.37895833,20.8125,1.05,12.0125,3.8375,1.0125,1.1375,0.517725258,16.925,0.788546256,2.8375,1.9875,0.618015716,-0.378057583,1.33011998,0.184696851,-0.110416377,0.189347054,0.254238063,0.060426828,-0.249811858
2,18,0.208659737,Damian Lillard,,POR,G,80,35.47333333,25.8375,2.9625,4.6375,6.8875,1.1125,0.4125,0.444227006,19.1625,0.912280702,6.4125,2.65,0.963156873,0.878801756,-0.897128758,1.23229766,-0.158998902,-0.701595906,-0.500577817,1.732690373,-0.67070765
2,19,0.207392303,Alan Williams,,BKN,F,5,5.106666667,3.6,0,3.8,0.6,0.2,0,0.615384615,2.6,0.5,0.8,0.2,0.839082071,-1.218330086,4.522321159,0.114698169,0.259759354,-1.122370345,1.178758152,-3.352820039,0.645432294
2,20,0.202574497,Demetrius Jackson,,FA,G,6,6.575,3.666666667,0.333333333,0.5,0.833333333,0.333333333,0,0.533333333,2.5,1,0.666666667,0.166666667,0.058191321,0.054740146,-1.380293599,0.249528258,0.878678739,-1.122370345,0.254001315,1.673614307,1.157080329
2,21,0.185371556,R.J. Hunter,,BOS,G,1,25.68333333,17,4,3,3,1,0,0.461538462,13,0.5,2,0,0.610831584,2.692581323,-1.020156534,0.104695074,0.247483847,-1.122370345,-0.310470588,-1.630066963,2.095816605
2,22,0.178897504,Kevin Durant,Injured - torn achilles (0g),GSW,F,78,34.63525641,25.98717949,1.756410256,6.346153846,5.858974359,0.756410256,1.076923077,0.521330441,17.73076923,0.885375494,6.487179487,2.871794872,1.079506073,0.055105355,-0.433315084,0.867894354,-0.670030376,0.002736255,0.269839086,1.41314203,-0.974800159
2,23,0.173766861,Amile Jefferson,,ORL,F,12,5.6875,2.25,0,1.75,0.25,0.25,0.25,0.625,1.333333333,0.875,0.666666667,0.083333333,-0.80100771,-1.218330086,0.666350111,-0.957288108,0.516907493,0.468174781,0.515911126,0.819977739,1.553206406
2,24,0.170651628,Giannis Antetokounmpo,,MIL,F,72,32.75532407,27.69444444,0.722222222,12.5,5.888888889,1.263888889,1.527777778,0.577724359,17.33333333,0.728862974,9.527777778,3.708333333,1.584137619,-0.664650742,1.319492321,1.022736138,0.22870032,0.565370203,0.851067082,-1.274165868,-2.09682242
3,25,0.160004338,Nerlens Noel,,OKC,F,77,13.70714286,4.909090909,0,4.220779221,0.584415584,0.857142857,1.246753247,0.586956522,3.584415584,0.683544304,1.025974026,0.623376623,-0.999623926,-1.218330086,0.668410671,-0.976533244,1.513853316,2.168880359,0.401122724,-0.529355367,0.411614595
3,26,0.151872181,Chris Paul,,HOU,G,58,32.01321839,15.62068966,2.189655172,4.586206897,8.155172414,1.965517241,0.310344828,0.419444444,12.4137931,0.862068966,3.5,2.603448276,-0.311453098,0.499245132,-0.786443344,2.115455986,1.452913569,-0.771584088,-0.578640841,0.663229412,-0.915873101
3,27,0.151041865,Joel Embiid,,PHI,C,64,33.66145833,27.515625,1.234375,13.59375,3.65625,0.71875,1.90625,0.483736447,18.734375,0.80431433,10.140625,3.546875,1.43530957,-0.297491381,1.515809273,-0.014679149,-0.696166261,0.926782369,-0.093456427,0.389598626,-1.806329839
3,28,0.139455468,Danilo Gallinari,,LAC,F,68,30.28406863,19.79411765,2.367647059,6.147058824,2.617647059,0.720588235,0.338235294,0.463193658,12.98529412,0.903940887,5.970588235,1.441176471,0.56686537,0.744904141,-0.258804016,-0.338033374,-0.565112188,-0.718230102,-0.269261953,1.759310358,0.333460978
3,29,0.138512089,Robert Williams,,BOS,C,31,9.123655914,2.612903226,0,2.612903226,0.225806452,0.290322581,1.290322581,0.705882353,1.64516129,0.6,0.483870968,0.322580645,-1.38003272,-1.218330086,0.478120118,-1.237269197,-0.134351048,3.995117214,0.644476522,-0.687575751,0.78645375
3,30,0.130738057,Mitchell Robinson,,NYK,C,66,20.59873737,7.348484848,0,6.409090909,0.560606061,0.787878788,2.439393939,0.694158076,4.409090909,0.6,2.045454545,0.53030303,-1.007028411,-1.218330086,0.696811045,-1.201321321,0.210621694,3.162806368,0.741454184,-1.350789826,1.142418869
3,31,0.110242831,DeMarcus Cousins,Out for season - torn acl (0g),GSW,C,30,25.68555556,16.26666667,0.866666667,8.233333333,3.566666667,1.333333333,1.466666667,0.479784367,12.36666667,0.736111111,4.8,2.4,0.459164565,-0.371039259,0.779891345,0.426150313,0.943764161,0.943817748,-0.134487534,-0.69059937,-1.364476491
3,32,0.097465078,Jimmy Butler,,PHI,F,65,33.61512821,18.69230769,1.030769231,5.276923077,4.046153846,1.892307692,0.584615385,0.462389381,13.90769231,0.854794521,5.615384615,1.461538462,0.04971075,-0.448320646,-0.66521727,0.156587538,1.179012558,-0.493062908,-0.270678557,0.8834867,0.485667538
3,33,0.087795198,Kemba Walker,,CHA,G,82,34.9101626,25.63414634,3.170731707,4.414634146,5.890243902,1.243902439,0.414634146,0.433827893,20.54878049,0.844444444,5.487804878,2.573170732,0.994568496,1.06241632,-0.934899338,0.861533023,0.070155945,-0.692595899,-0.650325745,0.713139733,-0.63383575
3,34,0.085485467,Mike Conley,,MEM,G,70,33.45166667,21.11428571,2.214285714,3.4,6.414285714,1.342857143,0.314285714,0.4375,16,0.844827586,5.8,1.857142857,0.447965881,0.443877549,-1.154169549,1.197135954,0.312284025,-0.782405291,-0.519249812,0.784090409,0.039840041
3,35,0.071410011,Nikola Mirotic,,MIL,F,46,27.06811594,15.15217391,2.52173913,7.369565217,1.195652174,0.673913043,0.739130435,0.439114391,11.7826087,0.846774194,2.695652174,1.043478261,0.069385549,1.121107725,0.353298736,-0.954140372,-0.505937303,-0.134294111,-0.470811656,0.495895979,0.668185552
3,36,0.070260321,Al Horford,,BOS,C,68,29.01151961,13.63235294,1.073529412,6.735294118,4.147058824,0.852941176,1.279411765,0.53526971,10.63235294,0.824742268,1.426470588,1.5,-0.407150031,-0.289122289,-0.000998769,0.48571947,-0.264266664,0.473388494,0.253653361,0.200049674,0.181069641
4,37,0.068805483,Kevin Love,,CLE,F,22,27.17954545,17,2.409090909,10.86363636,2.181818182,0.272727273,0.272727273,0.385159011,12.86363636,0.903508772,5.181818182,1.909090909,0.417653891,1.007440376,1.479246974,-0.427861922,-1.303570609,-0.759280772,-0.986474569,1.697487054,-0.505391079
