Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
1,1,1.082111795,James Harden,,HOU,G,78,36.75299145,36.12820513,4.846153846,6.615384615,7.512820513,2.051282051,0.730769231,0.441592457,24.47435897,0.878787879,11,4.961538462,3.635580128,3.431316743,0.188478301,1.838295033,2.553958456,0.054742583,-1.318592775,3.054387601,-3.699159918
1,2,1.045817004,Anthony Davis,,NOR,F,56,33.03482143,25.92857143,0.857142857,12.03571429,3.892857143,1.571428571,2.410714286,0.516569201,18.32142857,0.794457275,7.732142857,2.017857143,1.837565839,-0.569156822,2.186081983,0.19431363,1.373689165,3.218012477,1.146416349,0.239389052,-0.213958635
1,3,0.784704285,Paul George,Injured - shoulder (0g),OKC,F,77,36.9017316,28.03896104,3.792207792,8.142857143,4.12987013,2.220779221,0.441558442,0.438042131,20.96103896,0.840445269,7,2.662337662,2.209590049,2.374342135,0.751411726,0.301951444,2.970861349,-0.489829859,-1.240273899,1.16128349,-0.976997867
1,4,0.758396775,Stephen Curry,,GSW,G,69,33.78719807,27.26086957,5.130434783,5.347826087,5.231884058,1.333333333,0.362318841,0.471641791,19.42028986,0.916376307,4.15942029,2.782608696,2.072426341,3.716414572,-0.27866664,0.80242347,0.788059364,-0.639034885,-0.137011951,1.62035468,-1.119393974
1,5,0.68226118,Karl-Anthony Towns,,MIN,C,77,33.04805195,24.41558442,1.844155844,12.38961039,3.363636364,0.883116883,1.623376623,0.517870722,17.07792208,0.835555556,5.844155844,3.12987013,1.570853097,0.420692384,2.316506552,-0.046028337,-0.31931335,1.735486893,1.105002713,0.887688332,-1.530537663
1,6,0.671908525,Giannis Antetokounmpo,,MIL,F,72,32.75532407,27.69444444,0.722222222,12.5,5.888888889,1.263888889,1.527777778,0.577724359,17.33333333,0.728862974,9.527777778,3.708333333,2.148857892,-0.704465157,2.357189445,1.100797684,0.617250672,1.555478059,2.726833017,-1.539349859,-2.215415026
1,7,0.656094985,Kawhi Leonard,,TOR,F,60,34.0025,26.6,1.866666667,7.3,3.316666667,1.766666667,0.416666667,0.496014172,18.81666667,0.854460094,7.1,2.033333333,1.955926772,0.443267893,0.440785872,-0.067359301,1.853905602,-0.536700084,0.577972785,1.469337151,-0.232281828
1,8,0.597778077,Kevin Durant,Injured - torn achilles (0g),GSW,F,78,34.63525641,25.98717949,1.756410256,6.346153846,5.858974359,0.756410256,1.076923077,0.521330441,17.73076923,0.885375494,6.487179487,2.871794872,1.847897399,0.332694656,0.089256222,1.087212207,-0.630966692,0.706536544,1.24106664,1.931292563,-1.22498685
1,9,0.575964707,Kyrie Irving,,BOS,G,67,33.04502488,23.82089552,2.597014925,5.014925373,6.940298507,1.552238806,0.507462687,0.486704271,18.52238806,0.873469388,3.656716418,2.567164179,1.466020006,1.175714835,-0.401353586,1.578288112,1.326489151,-0.365734781,0.30249482,0.966080065,-0.864316259
1,10,0.568531349,Joel Embiid,,PHI,C,64,33.66145833,27.515625,1.234375,13.59375,3.65625,0.71875,1.90625,0.483736447,18.734375,0.80431433,10.140625,3.546875,2.1173352,-0.190840688,2.760279139,0.086860128,-0.723597559,2.268126239,0.21956482,0.603309662,-2.024254799
1,11,0.520635717,Nikola Vucevic,,ORL,C,80,31.37895833,20.8125,1.05,12.0125,3.8375,1.0125,1.1375,0.517725258,16.925,0.788546256,2.8375,1.9875,0.935693301,-0.375745497,2.17752661,0.169173565,-0.001076792,0.820600487,1.091560508,0.046006265,-0.178016989
1,12,0.509168593,Damian Lillard,,POR,G,80,35.47333333,25.8375,2.9625,4.6375,6.8875,1.1125,0.4125,0.444227006,19.1625,0.912280702,6.4125,2.65,1.821511563,1.542250145,-0.540449612,1.554310034,0.244887724,-0.544545752,-0.94789702,2.414840822,-0.962390567
2,13,0.496496973,Nikola Jokic,,DEN,C,80,31.29895833,20.05,1.0375,10.8125,7.2625,1.35,0.675,0.510779436,15.075,0.821022727,4.4,3.0875,0.801278092,-0.388281416,1.735279632,1.724613698,0.82905345,-0.050268666,0.813393244,0.48377784,-1.480373119
2,14,0.433414778,Bradley Beal,,WAS,G,82,36.92398374,25.59756098,2.548780488,4.987804878,5.463414634,1.5,0.695121951,0.475124378,19.6097561,0.808035714,5.463414634,2.719512195,1.779214574,1.127341794,-0.41134855,0.907571485,1.198000225,-0.01237983,-0.032934485,0.389958023,-1.044690234
2,15,0.377143478,Jimmy Butler,,PHI,F,65,33.61512821,18.69230769,1.030769231,5.276923077,4.046153846,1.892307692,0.584615385,0.462389381,13.90769231,0.854794521,5.615384615,1.461538462,0.561941049,-0.395031527,-0.304797175,0.263932271,2.162937943,-0.220459311,-0.288949631,1.170017187,0.444700496
2,16,0.343166816,Robert Covington,,MIN,F,35,34.36047619,13.28571429,2.428571429,5.514285714,1.314285714,2.142857143,1.314285714,0.430939227,10.34285714,0.764044944,2.542857143,1.342857143,-0.391145355,1.006787309,-0.217319751,-0.976726804,2.779200687,1.153480973,-0.710820876,-0.140169282,0.585214445
2,17,0.340741787,Rudy Gobert,,UTA,C,81,31.81111111,15.85185185,0,12.81481481,1.987654321,0.814814815,2.296296296,0.668539326,8.790123457,0.636015326,6.444444444,1.604938272,0.061219127,-1.428762712,2.473211029,-0.670921094,-0.487312202,3.002567942,2.632849552,-2.791096398,0.27492084
2,18,0.340309932,Andre Drummond,,DET,C,79,33.50696203,17.34177215,0.063291139,15.63291139,1.417721519,1.734177215,1.759493671,0.532258065,13.34177215,0.589805825,5.215189873,2.215189873,0.323865617,-1.365289704,3.511789942,-0.929752146,1.77399308,1.991789894,1.166781327,-2.962795907,-0.447592718
2,19,0.325008115,JaKarr Sampson,,FA,F,4,31.81666667,20,1.25,8,1,1,0.75,0.537037037,13.5,0.80952381,5.25,1,0.79246398,-0.175170789,0.698763276,-1.119457494,-0.031822357,0.090953359,1.280126067,0.398073364,0.991143628
2,20,0.311067196,Kemba Walker,,CHA,G,82,34.9101626,25.63414634,3.170731707,4.414634146,5.890243902,1.243902439,0.414634146,0.433827893,20.54878049,0.844444444,5.487804878,2.573170732,1.785663925,1.751080214,-0.622584404,1.101413054,0.568091098,-0.540527239,-1.349334876,0.97723077,-0.871427778
2,21,0.309499288,Chris Paul,,HOU,G,58,32.01321839,15.62068966,2.189655172,4.586206897,8.155172414,1.965517241,0.310344828,0.419444444,12.4137931,0.862068966,3.5,2.603448276,0.020469337,0.767184518,-0.559353128,2.13001472,2.343007456,-0.736899889,-1.079883173,0.808228935,-0.907275183
2,22,0.305054743,Jrue Holiday,,NOR,G,67,35.85049751,21.19402985,1.76119403,4.985074627,7.746268657,1.641791045,0.805970149,0.471958585,17.29850746,0.767527675,4.044776119,3.164179104,1.002950238,0.337492176,-0.412354755,1.944313898,1.546755882,0.19634293,-0.110352392,-0.188497173,-1.571158121
2,23,0.30135503,Clint Capela,,HOU,C,67,33.56442786,16.62686567,0,12.64179104,1.432835821,0.656716418,1.537313433,0.647540984,10.92537313,0.636015326,3.895522388,1.388059701,0.1978403,-1.428762712,2.409444996,-0.92288809,-0.876178159,1.57343332,2.910195057,-1.682585856,0.531696418
2,24,0.285198638,LeBron James,,LAL,F,55,35.22575758,27.36363636,2.018181818,8.418181818,8.254545455,1.309090909,0.6,0.509589041,19.90909091,0.66507177,7.6,3.581818182,2.090542302,0.595218429,0.852879647,2.175144301,0.728431603,-0.19149069,1.028125487,-2.646437207,-2.065626132
3,25,0.273817895,LaMarcus Aldridge,,SAS,F,81,33.17037037,21.30864198,0.12345679,9.197530864,2.395061728,0.543209877,1.320987654,0.518574678,16.28395062,0.846715328,5.074074074,1.777777778,1.02315432,-1.304951164,1.140100281,-0.485899829,-1.155363975,1.16610046,1.072737394,0.938197813,0.070285758
3,26,0.264544702,Myles Turner,,IND,C,74,28.63536036,13.2972973,1.027027027,7.202702703,1.554054054,0.810810811,2.689189189,0.486555698,10.55405405,0.736318408,2.716216216,1.351351351,-0.389103476,-0.398784484,0.404928009,-0.867837665,-0.497160631,3.742369673,0.182567632,-0.37123438,0.57515764
3,27,0.251940936,Mike Conley,,MEM,G,70,33.45166667,21.11428571,2.214285714,3.4,6.414285714,1.342857143,0.314285714,0.4375,16,0.844827586,5.8,1.857142857,0.988892763,0.791885837,-0.996516808,1.339403029,0.811484556,-0.729479356,-0.953202242,1.038679976,-0.023679331
3,28,0.24998747,Danilo Gallinari,,LAC,F,68,30.28406863,19.79411765,2.367647059,6.147058824,2.617647059,0.720588235,0.338235294,0.463193658,12.98529412,0.903940887,5.970588235,1.441176471,0.756170577,0.945687871,0.015881912,-0.384814236,-0.719076153,-0.684383247,-0.251673588,2.103285808,0.468808282
3,29,0.235470934,Al Horford,,BOS,C,68,29.01151961,13.63235294,1.073529412,6.735294118,4.147058824,0.852941176,1.279411765,0.53526971,10.63235294,0.824742268,1.426470588,1.5,-0.330039116,-0.352148473,0.232669647,0.309757571,-0.393534881,1.08781471,0.985357935,0.180197441,0.399163569
3,30,0.195803157,Klay Thompson,Injured - torn acl (0g),GSW,G,78,34.00384615,21.53846154,3.08974359,3.858974359,2.384615385,1.064102564,0.602564103,0.467523198,17.96153846,0.816455696,2.025641026,1.461538462,1.063667428,1.669859374,-0.827366789,-0.490643964,0.125847205,-0.186662587,-0.239012025,0.201839276,0.444700496
3,31,0.179988824,Brook Lopez,,MIL,C,81,28.66255144,12.45679012,2.308641975,4.888888889,1.209876543,0.604938272,2.209876543,0.452229299,9.691358025,0.842105263,1.641975309,1.024691358,-0.537269964,0.886513234,-0.447802965,-1.024143509,-1.003534026,2.839842975,-0.344847527,0.289231152,0.961910045
3,32,0.174538563,Russell Westbrook,,OKC,G,73,36.02237443,22.94520548,1.630136986,11.06849315,10.73972603,1.945205479,0.452054795,0.427698574,20.17808219,0.65631929,6.178082192,4.438356164,1.311651403,0.206058535,1.829623129,3.303771922,2.293047729,-0.470065643,-1.515886901,-2.307620165,-3.079732943
3,33,0.159253819,Deandre Ayton,,PHO,C,71,30.74248826,16.29577465,0,10.26760563,1.76056338,0.873239437,0.943661972,0.584579977,12.23943662,0.746031746,2.661971831,1.774647887,0.139474832,-1.428762712,1.534464726,-0.774052879,-0.343608363,0.455611169,2.063975734,-0.287809559,0.073991424
3,34,0.153244208,DeMarcus Cousins,,GSW,C,30,25.68555556,16.26666667,0.866666667,8.233333333,3.566666667,1.333333333,1.466666667,0.479784367,12.36666667,0.736111111,4.8,2.4,0.134343612,-0.559605646,0.784755744,0.046176475,0.788059364,1.440408262,0.079271877,-0.667811275,-0.666400538
3,35,0.152184543,Tobias Harris,,PHI,F,82,34.73109756,20.04878049,1.902439024,7.853658537,2.792682927,0.62195122,0.451219512,0.487629689,15.2804878,0.866449511,3.743902439,1.841463415,0.801063113,0.479143044,0.644830718,-0.305322904,-0.961688211,-0.471638447,0.276576714,0.911812359,-0.005115496
3,36,0.148157752,Kyle Lowry,,TOR,G,65,34.05205128,14.24615385,2.415384615,4.815384615,8.676923077,1.4,0.476923077,0.411366712,11.36923077,0.829896907,2.984615385,2.8,-0.221836916,0.993562603,-0.474892167,2.366964186,0.952035709,-0.423239654,-1.128687649,0.409498239,-1.139984585
4,37,0.135065344,Jusuf Nurkic,Injured - leg fracture (0g),POR,C,72,27.41273148,15.625,0.041666667,10.38888889,3.236111111,0.972222222,1.430555556,0.508474576,11.47222222,0.77260274,5.069444444,2.333333333,0.021229174,-1.386976315,1.579162353,-0.103943052,-0.100145834,1.372412472,0.585092642,-0.163773479,-0.587469863
4,38,0.11245376,Buddy Hield,,SAC,G,82,31.88800813,20.67073171,3.390243902,5.024390244,2.5,0.707317073,0.390243902,0.458088235,16.58536585,0.886010363,2.353658537,1.792682927,0.910702068,1.971223186,-0.39786541,-0.438242837,-0.751718502,-0.586453101,-0.460646538,0.712446319,0.052638656
4,39,0.103490265,Otto Porter,,CHI,F,56,30.06696429,13.92857143,1.857142857,5.642857143,2.125,1.446428571,0.553571429,0.465007776,11.48214286,0.8125,1.714285714,1.160714286,-0.277821057,0.433716716,-0.169936146,-0.608546501,1.06623352,-0.278913849,-0.186901286,0.152716668,0.800864323
4,40,0.096692186,Lauri Markkanen,,CHI,F,52,32.35,18.73076923,2.307692308,9.076923077,1.442307692,0.711538462,0.634615385,0.430188679,15.28846154,0.871794872,3.75,1.653846154,0.568721135,0.885560838,1.09565159,-0.918586505,-0.741335385,-0.126311294,-1.082513109,0.972026548,0.217015858
4,41,0.095692262,Pascal Siakam,,TOR,F,80,31.84625,16.925,0.9875,6.8625,3.1,0.925,0.6375,0.549206349,11.8125,0.784768212,3.775,1.9125,0.250396088,-0.438425093,0.279549994,-0.165756974,-0.216295744,-0.120879678,1.346271464,0.015590283,-0.08921998
4,42,0.09494812,Devin Booker,,PHO,G,64,35.03333333,26.59375,2.109375,4.140625,6.75,0.875,0.203125,0.467356688,19.625,0.865638767,7.09375,4.125,1.954825008,0.686673658,-0.723567501,1.491865357,-0.339278002,-0.938790571,-0.268924826,1.700461695,-2.708731742
4,43,0.083882041,Eric Bledsoe,,MIL,G,78,29.1258547,15.91025641,1.58974359,4.653846154,5.512820513,1.512820513,0.371794872,0.483539095,12.46153846,0.75,3.025641026,2.128205128,0.071514813,0.165549067,-0.534425414,0.930008824,1.229534137,-0.621191894,0.15207393,-0.293518845,-0.344606249
4,44,0.082606182,T.J. Warren,,PHO,F,43,31.62868217,17.95348837,1.790697674,4.023255814,1.488372093,1.186046512,0.674418605,0.48608838,14.20930233,0.814516129,2.88372093,1.209302326,0.431700323,0.367080601,-0.766822641,-0.897666675,0.425786046,-0.05136341,0.225349468,0.266053907,0.743338022
4,45,0.080182236,DeMar DeRozan,,SAS,G,77,34.91147186,21.22077922,0.090909091,6,6.168831169,1.116883117,0.467532468,0.480578827,17.05194805,0.83143508,5.701298701,2.571428571,1.007665677,-1.337592391,-0.038315022,1.22793154,0.255668636,-0.440921799,0.119147209,0.797421401,-0.869365129
4,46,0.072185925,Marc Gasol,,TOR,C,79,30.83607595,13.55696203,1.253164557,7.949367089,4.417721519,1.063291139,1.101265823,0.448275862,11.01265823,0.758893281,3.202531646,1.949367089,-0.343329195,-0.171997139,0.680103066,0.432677167,0.123851388,0.752372968,-0.463253125,-0.227882667,-0.132869143
4,47,0.06764321,Mitchell Robinson,,NYK,C,66,20.59873737,7.348484848,0,6.409090909,0.560606061,0.787878788,2.439393939,0.694158076,4.409090909,0.6,2.045454545,0.53030303,-1.437773467,-1.428762712,0.112450994,-1.319005221,-0.55356527,3.272015127,1.51009059,-1.093907256,1.547246108
4,48,0.066643975,Dewayne Dedmon,,ATL,C,64,25.14322917,10.828125,1.296875,7.515625,1.40625,1.078125,1.125,0.492395437,8.21875,0.814159292,1.765625,1.3125,-0.824374702,-0.128161092,0.520252126,-0.934961857,0.160337422,0.797063482,0.222953777,0.165530526,0.621156091
5,49,0.058707659,John Collins,,ATL,F,61,29.97650273,19.47540984,0.901639344,9.754098361,1.967213115,0.360655738,0.639344262,0.559566787,13.62295082,0.766037736,4.344262295,1.950819672,0.69998805,-0.524532473,1.345217192,-0.680204327,-1.604382379,-0.117407005,1.766558326,-0.222279506,-0.134588944
5,50,0.054414682,Nikola Mirotic,,MIL,F,46,27.06811594,15.15217391,2.52173913,7.369565217,1.195652174,0.673913043,0.739130435,0.439114391,11.7826087,0.846774194,2.695652174,1.043478261,-0.062121668,1.100222732,0.466423378,-1.030603408,-0.833880562,0.070486399,-0.664769093,0.504307256,0.939667101
