Name,Score,Age,Last_Season_Value,Proj_Value,Hashtag_Rank,CARMELO_5_YR_Value,Per_36_Value,Pos
James Harden,728.08696756,29,1.082111795,14.99,6,480.0,0.513156197,SG
Giannis Antetokounmpo,695.9984712400001,24,0.671908525,12.87,1,439.5,0.170651628,PF
Anthony Davis,656.95533888,26,1.045817004,15.33,3,307.1,0.49370823399999997,PF
Karl-Anthony Towns,639.90567904,23,0.68226118,12.23,2,322.9,0.233015398,C
Nikola Jokic,621.67456932,24,0.49649697299999995,10.6,4,337.3,0.22408363,C
Joel Embiid,584.86060316,25,0.568531349,10.58,5,293.1,0.151041865,C
Stephen Curry,571.69946708,31,0.758396775,14.2,7,277.7,0.398144951,PG
Luka Doncic,571.6779528400001,20,-0.150006693,4.54,8,362.3,-0.223872243,SF
Zion Williamson,556.132,19,,3.95,12,198.1,,PF
Paul George,551.5750275600001,29,0.784704285,10.32,16,275.3,0.305235702,PF
Damian Lillard,546.4895226799999,29,0.509168593,9.87,10,293.0,0.20865973699999998,PG
Ben Simmons,532.64736656,23,-0.039577636,4.54,19,362.0,-0.32736909999999997,PG
Kyrie Irving,519.54937668,27,0.575964707,8.37,11,217.4,0.273959855,PG
Bradley Beal,500.02630088,26,0.43341477799999995,8.27,17,223.7,0.038346372000000004,SG
Kawhi Leonard,490.56383284000003,28,0.656094985,9.95,14,167.4,0.26032541800000003,SF
Jayson Tatum,489.6473424,21,0.004831564,3.3,34,261.5,-0.118574002,PF
Donovan Mitchell,488.32790632,22,0.020884978000000002,4.42,23,243.4,-0.12389366,SG
Jaren Jackson Jr.,484.74315648000004,19,-0.10032905800000001,4.72,18,197.0,-0.164546015,PF
Ja Morant,482.392,20,,2.82,47,171.1,,PG
Mitchell Robinson,480.87877296,21,0.06764321,5.37,31,181.9,0.130738057,C
Kristaps Porzingis,477.028,24,,4.59,21,147.4,,PF
Devin Booker,477.02778728,22,0.09494812,6.71,9,172.3,-0.122601719,SG
Deandre Ayton,473.169033,21,0.159253819,5.97,13,160.2,-0.122038997,C
Jimmy Butler,472.05894536000005,29,0.377143478,9.04,25,219.6,0.09746507800000001,SF
John Collins,465.32648732,21,0.058707659,5.85,20,169.1,-0.137097738,PF
De'Aaron Fox,461.62191812000003,21,-0.031636595,4.37,26,194.3,-0.147132726,PG
Rudy Gobert,458.3806162,27,0.340741787,6.32,28,225.9,-0.09191319099999999,C
Myles Turner,450.05045896,23,0.26454470199999996,5.33,22,136.2,0.056833386,C
Lonzo Ball,449.17091252,21,-0.245510865,3.07,49,258.2,-0.27438316100000004,PG
Kemba Walker,448.75430368,29,0.311067196,6.8,38,227.3,0.087795198,PG
D'Angelo Russell,445.62719096,23,0.015046036,4.04,37,193.5,-0.006683131,SG
Nikola Vucevic,439.2835058,28,0.520635717,7.15,39,162.2,0.210950964,C
Trae Young,436.06669504,20,-0.227234532,5.44,15,129.0,-0.21604904600000002,PG
Jamal Murray,423.75858288,22,-0.068871942,2.8,43,189.1,-0.154781743,PG
Jrue Holiday,419.78317291999997,29,0.305054743,5.95,40,203.1,-0.02381271,SG
Pascal Siakam,409.12430152,25,0.09569226199999999,4.67,32,155.9,-0.14196736199999999,PF
Victor Oladipo,407.50778664,27,0.022300256,5.21,29,166.4,-0.070227795,SG
Andre Drummond,407.45356776000006,26,0.34030993200000004,6.08,24,116.7,-0.098885369,C
Lauri Markkanen,404.52603536,22,0.096692186,3.8,33,101.1,-0.049470651,PF
Russell Westbrook,402.46367492,30,0.174538563,5.77,57,234.2,-0.068998345,PG
LeBron James,397.17459312,34,0.285198638,8.81,27,191.1,-0.053741905,PG
Otto Porter,391.66876788,26,0.103490265,4.5,45,146.0,-0.021635533999999998,SF
Kevin Durant,391.60958109,30,0.5977780770000001,,44,209.5,0.17889750399999998,PF
Shai Gilgeous-Alexander,389.7768926,21,-0.279389683,1.69,50,167.7,-0.267619001,SG
Clint Capela,384.84381440000004,25,0.30135503,3.9,35,109.7,-0.139279835,C
Bam Adebayo,383.2214368,22,-0.20475492399999998,3.82,48,129.2,-0.175504578,C
Buddy Hield,377.05700136,26,0.11245376,4.67,41,110.5,-0.020889363,SG
Robert Covington,371.92854408,28,0.34316681600000004,4.69,46,119.8,-0.004201607,PF
Josh Richardson,362.46954991999996,25,-0.027141296000000002,3.6,52,129.6,-0.162759978,SG
R.J. Barrett,361.06,19,,-0.67,60,58.0,,SG
Jarrett Culver,359.08000000000004,20,,-0.46,91,106.5,,SG
Zach LaVine,358.57388336,24,-0.013916656000000001,4.58,36,77.3,-0.21321813,SG
Darius Garland,358.476,19,,-1.25,84,95.8,,SG
Wendell Carter Jr.,354.82872148,20,-0.205082531,2.09,42,59.2,-0.20712471600000001,C
Aaron Gordon,351.82114592,23,-0.134806258,1.76,66,147.8,-0.279432547,PF
Marvin Bagley III,351.65838687999997,20,-0.296712564,2.47,30,49.0,-0.303288882,PF
Domantas Sabonis,349.18194256000004,23,-0.169782104,2.46,53,105.4,-0.20438466600000002,PF
Jonathan Isaac,347.86586880000004,21,-0.16828238199999998,1.92,65,95.8,-0.170635449,SF
Thomas Bryant,347.11322332,22,-0.141494183,4.16,70,72.1,-0.005037617,C
Eric Bledsoe,346.145654232,29,0.08388204099999999,4.27,62,138.3,-9.53426e-05,PG
Jusuf Nurkic,343.75373912,24,0.135065344,-1.18,93,162.1,0.005939066999999999,C
Draymond Green,342.18684252,29,0.010648265,4.76,61,152.2,-0.15338860099999999,PF
Dejounte Murray,341.704,22,,0.22,95,100.7,,PG
Tobias Harris,338.3173914,27,0.152184543,4.8,51,81.4,-0.104424879,SF
Mikal Bridges,337.60568035999995,22,-0.15805687300000001,1.31,74,119.0,-0.21577555899999998,SF
Jarrett Allen,336.49068536000004,21,-0.08721745800000001,0.38,71,97.2,-0.19190770399999998,C
